Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,172.59292602539062,173.8111602584952,171.54273294150033,173.39108302493906,121465900
2015-01-05,169.47589111328125,171.70229441654155,169.1650381893597,171.53426615549571,169632600
2015-01-06,167.87960815429688,170.31605005774304,167.07305453082503,169.78674884172293,209151400
2015-01-07,169.97158813476562,170.31605442130996,168.77017382476237,169.2238514360209,125346700
2015-01-08,172.9876708984375,173.2061191019325,171.3829868035972,171.39978065022737,147217800
2015-01-09,171.60150146484375,173.42463460544093,170.97978271958456,173.40782793131604,158567300
2015-01-12,170.2572479248047,171.89555891315098,169.64393893239904,171.73592755984657,144396100
2015-01-13,169.77833557128906,172.63485427411575,168.45928753127845,171.49224422903833,214553300
2015-01-14,168.75338745117188,168.95502909139518,166.82943981052134,167.73679514218418,192991100
2015-01-15,167.20750427246094,169.71955730309216,167.08988318895047,169.4003074019847,176613900
2015-01-16,169.40032958984375,169.55996097117412,166.81265259394607,166.99748758077723,211879600
2015-01-20,169.7615509033203,170.31605573671303,168.17366002204875,170.04720024667947,130991100
2015-01-21,170.61854553222656,171.10583658958484,168.82061575081252,169.29110013178249,122942700
2015-01-22,173.15576171875,173.29017662909783,169.98837723476777,171.38303608996497,174356000
2015-01-23,172.20645141601562,173.1558300069948,172.07202363291893,172.89537136984285,117516800
2015-01-26,172.6096649169922,172.70208238486993,171.265425989366,171.98795906011892,92009700
2015-01-27,170.33287048339844,171.49227458485063,169.49271626682403,170.52610236368446,134044600
2015-01-28,168.14846801757812,171.635102963637,167.95523613312614,171.53428855779006,168514300
2015-01-29,169.70272827148438,169.96317398671874,166.9218074811116,168.35007968162796,173585400
2015-01-30,167.56874084472656,169.85396113363745,167.29989818589075,168.5097221999889,197729700
2015-02-02,169.64390563964844,169.73632309870155,166.23288221961548,168.07282165547895,163107000
2015-02-03,172.09716796875,172.10557771463405,170.17322066228343,170.55128745476333,124212900
2015-02-04,171.44183349609375,172.55084299624016,170.97974620436608,171.32421244181157,134306700
2015-02-05,173.17259216308594,173.32382659631858,172.038391602656,172.11400240940398,97953200
2015-02-06,172.69374084472656,174.1136038430729,172.1644394662394,173.54229218030696,125672000
2015-02-09,171.9207763671875,172.7693275844993,171.5090961502164,172.0383974549311,87219000
2015-02-10,173.7523193359375,174.01276513367452,171.96278646540648,172.97098194272638,96164200
2015-02-11,173.8531036376953,174.2899874141996,172.9289417032367,173.58426095812518,91087800
2015-02-12,175.52500915527344,175.58382610114808,173.8867110737457,174.6596513783707,97545900
2015-02-13,176.24754333496094,176.29795053474058,175.39058247950044,175.65104104458774,93670400
2015-02-17,176.5247802734375,176.7012182769293,175.67622923884286,175.92826521563927,76968200
2015-02-18,176.54161071777344,176.61722152099392,175.87788170354202,176.146737207974,80652900
2015-02-19,176.41555786132812,176.7852277238885,175.79385201950788,175.93667668099994,91462500
2015-02-20,177.47413635253906,177.54974713613444,175.36534159867247,175.99545710143272,140896400
2015-02-23,177.44891357421875,177.44891357421875,176.83559198762998,177.22206842822385,74411100
2015-02-24,177.953125,178.15476669783297,177.0709601991239,177.37341633600312,72472300
2015-02-25,177.8018341064453,178.31432867160214,177.45736781418313,177.82703770639273,73061700
2015-02-26,177.59178161621094,177.86903401359876,176.97845987968577,177.70940267997537,72697900
2015-02-27,176.9868927001953,177.75983305138163,176.93648549768648,177.4909775450197,108076000
2015-03-02,178.1042938232422,178.1630979510952,177.03729439761855,177.08770159855993,87491400
2015-03-03,177.3733367919922,178.15468680342147,176.49958213270352,177.66739586699202,110325800
2015-03-04,176.6256103515625,176.8440586438338,175.64263149554804,176.76843502434386,114497200
2015-03-05,176.81887817382812,177.10452755675703,176.30638354222643,176.95329311772946,76873000
2015-03-06,174.33201599121094,176.38199451956675,173.9959594015324,175.94511069719488,188128000
2015-03-09,175.05455017089844,175.4158103658263,174.37402724018335,174.53365860807696,89818900
2015-03-10,172.2147674560547,173.7522508512546,172.17275719110177,173.6682431410817,157121300
2015-03-11,171.81153869628906,172.6516929197428,171.72751814604925,172.47525489213365,110145700
2015-03-12,173.99594116210938,174.0631422172109,172.3996404791283,172.45004768032234,93993500
2015-03-13,172.92892456054688,174.69324052583377,171.87873190749474,173.71867148679962,162410900
2015-03-16,175.23934936523438,175.3317668320028,172.95412911399123,173.66826524990518,136099200
2015-03-17,174.7184600830078,175.10492380722366,173.89509979801193,174.49161487634692,94510400
2015-03-18,176.81887817382812,177.49940110010934,173.59267594519036,174.23959834043055,228808500
2015-03-19,176.01234436035156,176.8272951426349,175.61747077224567,176.39882101967981,117917300
2015-03-20,177.56590270996094,178.0806848360268,176.78951231731298,176.9751722891372,177715100
2015-03-23,177.21998596191406,178.15672068850557,177.21998596191406,177.57442438860224,71784500
2015-03-24,176.22413635253906,177.5574940739274,176.15662245018416,177.09335692029788,77805300
2015-03-25,173.64175415039062,176.6713805486699,173.599569234523,176.43508836119386,159521700
2015-03-26,173.22825622558594,174.15654332029058,172.25775845939964,172.96664792728774,153067200
2015-03-27,173.6249237060547,173.8021364473466,172.91603411000304,173.11014142450927,118939000
2015-03-30,175.74310302734375,176.04690914669513,174.65447194456144,174.67134076227643,96180400
2015-03-31,174.20718383789062,175.61651555585468,174.14811722430673,174.9076260541311,126768700
2015-04-01,173.5911407470703,174.1987529740777,172.58689240307308,174.1734368710324,137303600
2015-04-02,174.21563720703125,174.67133994544722,173.33796936547157,173.5236293751492,86900900
2015-04-06,175.38868713378906,175.91190384299773,173.17766129607583,173.31267623986525,114368200
2015-04-07,174.92454528808594,176.1735204964645,174.89079476978915,175.41401150364456,81236300
2015-04-08,175.51524353027344,175.96251185766056,174.75573467768095,175.1523707984899,89351900
2015-04-09,176.2916259765625,176.52791818104268,174.84855664755557,175.34645715864173,85548900
2015-04-10,177.25363159179688,177.2958293769714,176.34222639219914,176.54475515790702,72722900
2015-04-13,176.45201110839844,177.75163141369728,176.40137889231502,177.11025567140763,74436600
2015-04-14,176.7895050048828,176.9751649690277,175.61647861885288,176.24940680290405,75099900
2015-04-15,177.58277893066406,178.0975610782001,177.17770846477015,177.26210404710375,99529300
2015-04-16,177.53216552734375,178.0469477293797,177.04269942729653,177.2452411201655,68934900
2015-04-17,175.4899139404297,176.57011052094984,174.69664175977545,176.32538391564282,191113200
2015-04-20,177.0933380126953,177.43089461146985,176.34226363500693,176.42664634622113,92189500
2015-04-21,176.88238525390625,177.94570026958374,176.5785791241469,177.78535635707732,72559800
2015-04-22,177.75160217285156,177.93726218592386,176.2916381721502,177.22837264648402,78264600
2015-04-23,178.1988983154297,178.85714287286254,177.22840029985707,177.34654642870495,102585900
2015-04-24,178.61239624023438,178.88245188229166,178.1566934404649,178.62084352714976,61327400
2015-04-27,177.8697509765625,179.3128204272497,177.6756436746185,179.18623990594747,79358100
2015-04-28,178.4352264404297,178.48585866626178,176.65458686253402,177.84449567744733,86863500
2015-04-29,177.70095825195312,178.30855758191416,176.88236994198974,177.53216706795124,125684900
2015-04-30,175.9203643798828,177.51534361137197,175.21147470602776,177.1187074061426,161304900
2015-05-01,177.8275604248047,177.86975822594542,176.61233586293298,176.71360028410197,103399700
2015-05-04,178.33392333984375,178.92465397480166,178.14826330071952,178.25796214059324,70927200
2015-05-05,176.2916259765625,178.45203208131755,176.14816377219663,178.0891464892491,113326200
2015-05-06,175.56590270996094,177.16088184701815,174.48570588047045,176.84864127384162,135060200
2015-05-07,176.26634216308594,176.69674173198396,175.1270787278563,175.46463540267357,88244900
2015-05-08,178.58705139160156,178.78959309054744,177.87817476073045,177.96257035453118,155877300
2015-05-11,177.73475646972656,178.81495337709362,177.6588081427155,178.5449105887333,75708100
2015-05-12,177.20303344726562,177.75157900601687,176.05532300556652,176.89079295550292,119727600
2015-05-13,177.23683166503906,178.24951451804122,177.0005394285706,177.61658612529473,94667900
2015-05-14,179.08497619628906,179.17780620459754,177.98789779181467,178.26638781674006,95934000
2015-05-15,179.27908325195312,179.42254547908914,178.7896170715683,179.27908325195312,76510100
2015-05-18,179.8360595703125,180.08922062644353,179.0427872558722,179.11030116316087,74549700
2015-05-19,179.77700805664062,180.23272378253543,179.49008356372207,179.95423370048042,72114600
2015-05-20,179.650390625,180.40989950960633,179.32970280054107,179.8782355642056,76857500
2015-05-21,180.17364501953125,180.3846211846595,179.3381747699166,179.50696600358978,64764600
2015-05-22,179.7432098388672,180.20734697549716,179.6756959389851,179.78539475895374,57433500
2015-05-26,177.81069946289062,179.67573432431465,177.38874715620273,179.245334730237,124308600
2015-05-27,179.49844360351562,179.7347357794243,177.86126718689263,178.27478493321178,93214000
2015-05-28,179.29598999023438,179.40568883985895,178.59554757618005,179.18627826364659,74974600
2015-05-29,178.18199157714844,179.2706226916163,177.91194883928745,179.22843776914084,124919600
2015-06-01,178.54489135742188,179.1946885878099,177.74317173544972,178.85713191947747,93338800
2015-06-02,178.36766052246094,179.06810282188877,177.447807682727,178.08073607506964,91531000
2015-06-03,178.8402557373047,179.47318416766475,178.3423551292256,178.90776964844517,87820900
2015-06-04,177.3296661376953,178.7896173948003,177.00897829001065,178.12293847020274,151882800
2015-06-05,177.02581787109375,177.70937832951566,176.35912622814416,177.1777144720949,121704700
2015-06-08,175.93719482421875,177.0680365653125,175.86124651475302,176.91612706942115,89063300
2015-06-09,175.91192626953125,176.46047203240488,175.2705633546401,175.91192626953125,105034700
2015-06-10,178.0216827392578,178.40988454280696,176.62924522225836,176.68831185153755,134551300
2015-06-11,178.59552001953125,178.9837088927003,178.23263437517457,178.46892661370214,73876400
2015-06-12,177.22836303710938,178.4689035676663,176.94987303260072,177.76002694362222,135382400
2015-06-15,176.46884155273438,176.75576594518145,175.3548816145865,176.07220547266283,124384200
2015-06-16,177.43092346191406,177.51531906380993,176.1397505900651,176.3169633263011,85308200
2015-06-17,177.71786499023438,178.33392461398537,176.6798659473234,177.71786499023438,126708600
2015-06-18,179.56602478027344,180.03860930917756,177.75163499031018,178.32548395341874,165867900
2015-06-19,178.7688446044922,179.39637616630603,178.3872429943008,179.32005843218684,130478700
2015-06-22,179.6846466064453,180.27825038497565,179.47264433271363,179.70161041142958,70696000
2015-06-23,179.8119659423828,180.15117757642398,179.41341329923569,179.8967720857933,68476800
2015-06-24,178.50599670410156,179.92217099218522,178.4805574547035,179.54056931161622,92307300
2015-06-25,177.96327209472656,179.14200476828069,177.8869543461276,179.01480852061573,97107400
2015-06-26,177.92935180664062,178.57383434051536,177.36966245534026,178.3279043499754,104174800
2015-06-29,174.1980438232422,177.93776740439506,174.12172610271085,176.42831210245188,202621300
